Argyrosticta vauaurea
Argyrosticta scione
Argyrosticta meres
Argyrosticta eubotes
Argyrosticta ditissima
Argyrosticta bellinita
Argyrosticta aurifundens
Eustrotia roseoviridis
Craterestra lucina
Lithacodia editha
Marimatha botyoides
Closteromorpha modesta
Bryogramma sisera
Ablita adin
Tripudia quadrifera
Tripudia ochrocraspis
Tripudia limbatus
Tripudia lamina
Tripudia grapholithoides
Phoenicophanta modestula
Ozarba semipotentia
Ozarba geta
Ozarba costata
Ozarba bascura
Ozarba angulilinea
Ozarba agraria
Marimatha tripuncta
Marimatha squala
Marimatha piscimala
Marimatha nigrofimbria
Lithacodia jora
Macrosoma nigrimacula
Macrosoma muscerdata
Macrosoma lucivittata
Hyalochlora antolodoxa
Dichorda obliquata
Dichorda iris
Chavarriella semiornata
Chavarriella porcius
Chavarriella fallax
Cathydata batina
Telotheta muscipunctata
Oospila venezuelata
Oospila tricamerata
Oospila stagonata
Oospila ruptimacula
Oospila rufilimes
Oospila rosipara
Oospila quinquemaculata
Oospila permagna
Oospila miccularia
Oospila lilacina
Oospila lacteguttata
Hyalochlora splendens
Oospila fimbripedata
Hydata alada
Hydata benepicta
Nemoria anae
Nemoria agenoria
Nemoria adjunctaria
Nemoria adaluzae
Nemoria acutularia
Lissochlora ronaldi
Lissochlora manostigma
Lissochlora latuta
Lissochlora inconspicua
Lissochlora freddyi
Lissochlora daniloi
Lissochlora albocillaria
Hydata subfenestraria
Hydata stigmatica
Hydata satisfacta
Hydata povera
Hydata opella
Hydata latifasciata
Hydata ignita
Hydata apicata
Nemoria astraea
Oospila ecuadorata
Oospila depressa
Tachyphyle oleaster
Tachyphyle hamata
Tachyphyle basiplaga
Tachyphyle allineata
Tachyphyle albisparsa
Tachyphyle acuta
Pachycopsis tridentata
Pachycopsis malina
Neagathia corruptata
Chloractis pulcherrima
Trotopera olivifera
Trotopera arrhapa
Tetragonodes murcia
Tetragonodes anopsaria
Stibaractis dioptis
Sericoptera virginaria
Sericoptera mahometaria
Sericoptera chiffa
Sericoptera area
Tachyphyle undilineata
Oospila dicraspeda
Chlorochlamys appellaria
Chloropteryx diluta
Oospila confundaria
Oospila confluaria
Oospila concinna
Oospila camilla
Oospila atopochlora
Oospila athena
Oospila asmura
Oospila arpata
Oospila albipunctulata
Oospila albicoma
Oospila agnetaforslundae
Xerochlora masonaria
Neocrasis obscurata
Chloropteryx subrufescens
Chloropteryx stigmatica
Chloropteryx punctilinea
